kelime,simdiki_pozisyon,bir_ay_once_pozisyon,degisim,gosterim_14g,tik_14g
"makbuz baskı",36.0,33.0,-3.0,2,0
"matbaa fiyat",37.0,YENİ,-,3,0
"alçak tavan uyarı",37.0,YENİ,-,1,0
"acil çıkış levhaları ne renktir",38.0,YENİ,-,1,0
"oto paspas baskı",38.0,YENİ,-,1,0
"kalite kontrol etiketi",38.6,23.7,-15.0,8,0
"araba sticker kaplama",39.0,YENİ,-,3,0
"renklojistik.com",42.0,68.0,+26.0,1,0
"paspas baskı",42.7,YENİ,-,3,0
"antetli kağıt baskı fiyatları",44.0,60.5,+16.5,1,0
"matbaa ücretleri",46.0,YENİ,-,2,0
"uyarı levhaları anlamları",46.0,YENİ,-,1,0
"makbuz basımı",47.5,YENİ,-,2,0
"broşür kağıdı fiyatları",48.0,48.0,0.0,1,0
"acil çıkış rengi nedir",50.5,YENİ,-,2,0
"gaziantep matbaa",52.3,15.3,-37.1,3,0
"kapı broşürü",55.0,55.6,+0.6,9,0
"a4 broşür baskı fiyatları",57.7,60.3,+2.7,6,0
"vinil branda fiyatları",58.0,YENİ,-,2,0
"85 x 200 cm",58.0,YENİ,-,1,0
"broşür fiyatları",59.0,55.0,-4.0,4,0
"amerikan servis fiyatları matbaa",59.3,YENİ,-,3,0
"acil durum işaretleri",61.0,YENİ,-,1,0
"yelken bayrak baskı",64.0,48.0,-16.0,2,0
"antetli baskı fiyatı",67.5,65.8,-1.8,2,0
"1000 adet el ilanı fiyatı",68.0,47.7,-20.3,3,0
"el afişi fiyatları",69.5,68.0,-1.5,4,0
"el ilanı baskı",69.7,YENİ,-,3,0
"muşamba baskı",70.0,YENİ,-,1,0
"amerikan servis baskı fiyatları",70.5,YENİ,-,2,0
"1000 adet broşür fiyatı",70.8,72.0,+1.3,4,0
"el ilani fiyat",71.0,57.5,-13.5,1,0
"antalya katalog baskı",72.0,YENİ,-,1,0
"güvenlik işaretleri",72.0,YENİ,-,1,0
"katlamalı broşür fiyatları",73.0,72.5,-0.5,1,0
"el ilanı baskı fiyatları",73.5,55.5,-18.0,2,0
"a4 el ilanı fiyatları",73.8,55.3,-18.4,4,0
"en ucuz el ilanı fiyatları",74.0,52.0,-22.0,1,0
"yangın nasıl çıkar",75.0,YENİ,-,3,0
"el ilanı fiyatları",75.7,55.5,-20.2,3,0
"broşür baskı satın al",76.0,YENİ,-,1,0
"kampanyala",76.7,75.2,-1.5,9,0
"5000 adet broşür fiyatı",77.0,81.0,+4.0,1,0
"1000 adet a5 broşür fiyatı",78.0,69.0,-9.0,1,0
"katalog baskı fiyatları antalya",78.0,52.0,-26.0,1,0
"pe etiketler",79.6,YENİ,-,7,0
"el broşürü baskı fiyatları",80.0,64.0,-16.0,1,0
"el ilanı bastır",80.0,YENİ,-,1,0
"makbuz form baskı tasarımı",80.7,YENİ,-,3,0
"broşür el ilanı",81.0,YENİ,-,1,0
"amerikan servis matbaa",82.0,76.0,-6.0,5,0
